Hot_end_temperature,Machine_state,Date,Current_layer,Total_Layers,Printed_Object,User,Time_left,Plastic_material,timetime,timeperf_counter,Part
274,Printing,2021-05-10 11:00:55,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.12418985366821289,0.12416990000019723,3
274,Printing,2021-05-10 11:00:56,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.14229369163513184,0.14218479999999545,3
274,Printing,2021-05-10 11:00:58,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.20395326614379883,0.20451730000058888,3
274,Printing,2021-05-10 11:00:59,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15186619758605957,0.15158429999974032,3
274,Printing,2021-05-10 11:01:00,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.1366565227508545,0.137130299999626,3
274,Printing,2021-05-10 11:01:01,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.13182282447814941,0.13192919999983133,3
274,Printing,2021-05-10 11:01:02,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.16974329948425293,0.1699839000002612,3
274,Printing,2021-05-10 11:01:04,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.21039319038391113,0.2103884999996808,3
274,Printing,2021-05-10 11:01:05,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15471625328063965,0.15523800000028132,3
275,Printing,2021-05-10 11:01:06,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.18556475639343262,0.18534169999929873,3
275,Printing,2021-05-10 11:01:07,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15334749221801758,0.15352789999997185,3
275,Printing,2021-05-10 11:01:08,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.15883421897888184,0.15852210000048217,3
275,Printing,2021-05-10 11:01:10,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.14017248153686523,0.13984649999929388,3
275,Printing,2021-05-10 11:01:11,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.13860273361206055,0.13907469999958266,3
275,Printing,2021-05-10 11:01:12,38,105,Leirmo_Exp1_Main_Artifact,Klaudijus Natys,113.0,Onyx,0.20827984809875488,0.20828210000036051,3
